Satactdt,var3,var15,imp_ent_var16_ult1,imp_op_var39_comer_ult1,imp_op_var39_comer_ult3,imp_op_var40_comer_ult1,imp_op_var40_comer_ult3,imp_op_var40_efect_ult1,imp_op_var40_efect_ult3,imp_op_var40_ult1,imp_op_var41_comer_ult1,imp_op_var41_comer_ult3,imp_op_var41_efect_ult1,imp_op_var41_efect_ult3,imp_op_var41_ult1,imp_op_var39_efect_ult1,imp_op_var39_efect_ult3,imp_op_var39_ult1,imp_sal_var16_ult1,ind_var1_0,ind_var1,ind_var2_0,ind_var2,ind_var5_0,ind_var5,ind_var6_0,ind_var6,ind_var8_0,ind_var8,ind_var12_0,ind_var12,ind_var13_0,ind_var13_corto_0,ind_var13_corto,ind_var13_largo_0,ind_var13_largo,ind_var13_medio_0,ind_var13_medio,ind_var13,ind_var14_0,ind_var14,ind_var17_0,ind_var17,ind_var18_0,ind_var18,ind_var19,ind_var20_0,ind_var20,ind_var24_0,ind_var24,ind_var25_cte,ind_var26_0,ind_var26_cte,ind_var26,ind_var25_0,ind_var25,ind_var27_0,ind_var28_0,ind_var28,ind_var27,ind_var29_0,ind_var29,ind_var30_0,ind_var30,ind_var31_0,ind_var31,ind_var32_cte,ind_var32_0,ind_var32,ind_var33_0,ind_var33,ind_var34_0,ind_var34,ind_var37_cte,ind_var37_0,ind_var37,ind_var39_0,ind_var40_0,ind_var40,ind_var41_0,ind_var41,ind_var39,ind_var44_0,ind_var44,ind_var46_0,ind_var46,num_var1_0,num_var1,num_var4,num_var5_0,num_var5,num_var6_0,num_var6,num_var8_0,Tuition,TuitionIS,Enroll,Choice
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,1.00,10.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,030.00","17,030.00","17,030.00","8,510.00","8,510.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.00,49.00,0.00,"1,740.00",62.00,0.00
2.00,421.00,44.00,536.00,56.00,480.00,600.00,490.00,470.00,580.00,600.00,22.00,27.00,21.00,28.00,21.00,26.00,6.00,8.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,147.00,1.00,147.00,1.00,147.00,1.00,147.00,1.00,50.00,50.00,1.00,1.00,1.00,1.00,2.00,1.00,"1,856.00",2.00,0.00,"3,830.00","4,820.00",0.00,391.00,"39,900.00","39,900.00","39,900.00","39,900.00","31,250.00","31,250.00","39,900.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,732.00",635.00,"39,900.00","26,770.00",937.00,0.00
2.00,883.00,94.00,381.00,40.00,200.00,420.00,210.00,0.00,0.00,410.00,13.00,17.00,8.00,16.00,13.00,16.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,1.00,20.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,324.00",2.00,0.00,"7,766.00","2,550.00",0.00,550.00,"22,684.00","12,619.00","12,619.00","18,753.00","7,009.00","7,009.00","16,550.00",574.00,574.00,0.00,137.00,137.00,0.00,437.00,437.00,0.00,5.00,77.00,18.00,0.00,"2,193.00","1,040.00","16,550.00","2,277.00",897.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,5.00,50.00,50.00,1.00,1.00,1.00,1.00,2.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,"23,800.00","23,800.00","23,800.00","12,500.00","12,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00,0.00,"7,500.00",1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,2.00,40.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,"31,504.00","31,504.00","31,504.00","24,304.00","24,304.00",0.00,100.00,100.00,0.00,45.00,45.00,0.00,55.00,55.00,0.00,1.00,32.00,66.00,1.00,85.00,67.00,0.00,"19,433.00",8.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,156.00,1.00,156.00,1.00,156.00,1.00,100.00,100.00,1.00,1.00,1.00,1.00,2.00,1.00,"1,622.00",1.00,19.00,"9,800.00","3,600.00",0.00,0.00,"36,884.00","35,436.00","35,436.00","35,436.00","24,592.00","24,592.00","36,884.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,053.00","7,818.00","36,884.00","18,360.00",845.00,0.00
3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,2.00,40.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,"37,289.00","37,289.00","37,289.00","24,338.00","24,338.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,8.00,0.00,"19,312.00",5.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,289.00","16,289.00","18,970.00","7,647.00","7,647.00",0.00,"1,009.00","1,009.00",0.00,570.00,570.00,0.00,439.00,439.00,0.00,17.00,54.00,28.00,0.00,"1,523.00","2,025.00",0.00,"2,370.00",803.00,0.00
2.00,75.00,15.00,470.00,92.00,410.00,530.00,435.00,403.00,500.00,550.00,18.00,23.00,17.00,23.00,17.00,23.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,159.00,1.00,159.00,1.00,159.00,1.00,159.00,1.00,30.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,200.00",1.00,19.00,"3,400.00","3,900.00",0.00,276.00,"29,378.00","19,309.00","19,309.00","30,277.00","10,264.00","10,264.00","18,410.00","1,390.00",600.00,790.00,539.00,274.00,265.00,851.00,326.00,525.00,2.00,73.00,25.00,0.00,"2,208.00","1,082.00","18,410.00","3,816.00",529.00,0.00
2.00,746.00,75.00,174.00,17.00,500.00,600.00,510.00,510.00,620.00,620.00,22.00,28.00,21.00,29.00,22.00,27.00,7.00,8.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,153.00,1.00,153.00,1.00,153.00,1.00,40.00,50.00,1.00,1.00,1.00,1.00,2.00,1.00,"1,280.00",2.00,0.00,"8,420.00","4,100.00",0.00,303.00,"45,200.00","45,200.00","45,200.00","45,200.00","38,020.00","38,020.00","45,200.00","2,421.00",770.00,"1,651.00","1,127.00",385.00,742.00,"1,294.00",385.00,909.00,3.00,82.00,15.00,0.00,"6,154.00","1,705.00","45,200.00","27,870.00",958.00,0.00
