Satactdt,var3,var15,imp_ent_var16_ult1,imp_op_var39_comer_ult1,imp_op_var39_comer_ult3,imp_op_var40_comer_ult1,imp_op_var40_comer_ult3,imp_op_var40_efect_ult1,imp_op_var40_efect_ult3,imp_op_var40_ult1,imp_op_var41_comer_ult1,imp_op_var41_comer_ult3,imp_op_var41_efect_ult1,imp_op_var41_efect_ult3,imp_op_var41_ult1,imp_op_var39_efect_ult1,imp_op_var39_efect_ult3,imp_op_var39_ult1,imp_sal_var16_ult1,ind_var1_0,ind_var1,ind_var2_0,ind_var2,ind_var5_0,ind_var5,ind_var6_0,ind_var6,ind_var8_0,ind_var8,ind_var12_0,ind_var12,ind_var13_0,ind_var13_corto_0,ind_var13_corto,ind_var13_largo_0,ind_var13_largo,ind_var13_medio_0,ind_var13_medio,ind_var13,ind_var14_0,ind_var14,ind_var17_0,ind_var17,ind_var18_0,ind_var18,ind_var19,ind_var20_0,ind_var20,ind_var24_0,ind_var24,ind_var25_cte,ind_var26_0,ind_var26_cte,ind_var26,ind_var25_0,ind_var25,ind_var27_0,ind_var28_0,ind_var28,ind_var27,ind_var29_0,ind_var29,ind_var30_0,ind_var30,ind_var31_0,ind_var31,ind_var32_cte,ind_var32_0,ind_var32,ind_var33_0,ind_var33,ind_var34_0,ind_var34,ind_var37_cte,ind_var37_0,ind_var37,ind_var39_0,ind_var40_0,ind_var40,ind_var41_0,ind_var41,ind_var39,ind_var44_0,ind_var44,ind_var46_0,ind_var46,num_var1_0,num_var1,num_var4,num_var5_0,num_var5,num_var6_0,num_var6,num_var8_0,Tuition,TuitionIS,Enroll,Choice
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"17,030.0","17,030.0","17,030.0","8,510.0","8,510.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,49.0,0.0,"1,740.0",62.0,0.0
2.0,421.0,44.0,536.0,56.0,480.0,600.0,490.0,470.0,580.0,600.0,22.0,27.0,21.0,28.0,21.0,26.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,147.0,1.0,147.0,1.0,147.0,1.0,147.0,1.0,50.0,50.0,1.0,1.0,1.0,1.0,2.0,1.0,"1,856.0",2.0,0.0,"3,830.0","4,820.0",0.0,391.0,"39,900.0","39,900.0","39,900.0","39,900.0","31,250.0","31,250.0","39,900.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,732.0",635.0,"39,900.0","26,770.0",937.0,0.0
2.0,883.0,94.0,381.0,40.0,200.0,420.0,210.0,0.0,0.0,410.0,13.0,17.0,8.0,16.0,13.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"1,324.0",2.0,0.0,"7,766.0","2,550.0",0.0,550.0,"22,684.0","12,619.0","12,619.0","18,753.0","7,009.0","7,009.0","16,550.0",574.0,574.0,0.0,137.0,137.0,0.0,437.0,437.0,0.0,5.0,77.0,18.0,0.0,"2,193.0","1,040.0","16,550.0","2,277.0",897.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,50.0,50.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"23,800.0","23,800.0","23,800.0","12,500.0","12,500.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,"7,500.0",1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,40.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"31,504.0","31,504.0","31,504.0","24,304.0","24,304.0",0.0,100.0,100.0,0.0,45.0,45.0,0.0,55.0,55.0,0.0,1.0,32.0,66.0,1.0,85.0,67.0,0.0,"19,433.0",8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,156.0,1.0,156.0,1.0,156.0,1.0,100.0,100.0,1.0,1.0,1.0,1.0,2.0,1.0,"1,622.0",1.0,19.0,"9,800.0","3,600.0",0.0,0.0,"36,884.0","35,436.0","35,436.0","35,436.0","24,592.0","24,592.0","36,884.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10,053.0","7,818.0","36,884.0","18,360.0",845.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,40.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"37,289.0","37,289.0","37,289.0","24,338.0","24,338.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,"19,312.0",5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"16,289.0","16,289.0","18,970.0","7,647.0","7,647.0",0.0,"1,009.0","1,009.0",0.0,570.0,570.0,0.0,439.0,439.0,0.0,17.0,54.0,28.0,0.0,"1,523.0","2,025.0",0.0,"2,370.0",803.0,0.0
2.0,75.0,15.0,470.0,92.0,410.0,530.0,435.0,403.0,500.0,550.0,18.0,23.0,17.0,23.0,17.0,23.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,159.0,1.0,159.0,1.0,159.0,1.0,159.0,1.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,"1,200.0",1.0,19.0,"3,400.0","3,900.0",0.0,276.0,"29,378.0","19,309.0","19,309.0","30,277.0","10,264.0","10,264.0","18,410.0","1,390.0",600.0,790.0,539.0,274.0,265.0,851.0,326.0,525.0,2.0,73.0,25.0,0.0,"2,208.0","1,082.0","18,410.0","3,816.0",529.0,0.0
2.0,746.0,75.0,174.0,17.0,500.0,600.0,510.0,510.0,620.0,620.0,22.0,28.0,21.0,29.0,22.0,27.0,7.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,153.0,1.0,153.0,1.0,153.0,1.0,40.0,50.0,1.0,1.0,1.0,1.0,2.0,1.0,"1,280.0",2.0,0.0,"8,420.0","4,100.0",0.0,303.0,"45,200.0","45,200.0","45,200.0","45,200.0","38,020.0","38,020.0","45,200.0","2,421.0",770.0,"1,651.0","1,127.0",385.0,742.0,"1,294.0",385.0,909.0,3.0,82.0,15.0,0.0,"6,154.0","1,705.0","45,200.0","27,870.0",958.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,35.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"15,150.0","15,150.0","18,814.0","8,150.0","8,150.0",0.0,"1,231.0","1,231.0",0.0,530.0,530.0,0.0,701.0,701.0,0.0,9.0,60.0,31.0,0.0,"2,263.0","1,724.0",0.0,"3,664.0",822.0,0.0
2.0,57.0,9.0,567.0,86.0,423.0,540.0,442.0,0.0,0.0,578.0,19.0,26.0,18.0,26.0,19.0,26.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,1.0,180.0,1.0,180.0,1.0,180.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,"1,650.0",1.0,18.0,"4,226.0","4,570.0",0.0,387.0,"40,499.0","36,503.0","36,503.0","36,503.0","31,703.0","31,703.0","40,499.0",37.0,37.0,0.0,26.0,26.0,0.0,11.0,11.0,0.0,1.0,97.0,2.0,0.0,"1,761.0",46.0,"40,499.0","28,606.0",568.0,0.0
