Satactdt,var3,var15,imp_ent_var16_ult1,imp_op_var39_comer_ult1,imp_op_var39_comer_ult3,imp_op_var40_comer_ult1,imp_op_var40_comer_ult3,imp_op_var40_efect_ult1,imp_op_var40_efect_ult3,imp_op_var40_ult1,imp_op_var41_comer_ult1,imp_op_var41_comer_ult3,imp_op_var41_efect_ult1,imp_op_var41_efect_ult3,imp_op_var41_ult1,imp_op_var39_efect_ult1,imp_op_var39_efect_ult3,imp_op_var39_ult1,imp_sal_var16_ult1,ind_var1_0,ind_var1,ind_var2_0,ind_var2,ind_var5_0,ind_var5,ind_var6_0,ind_var6,ind_var8_0,ind_var8,ind_var12_0,ind_var12,ind_var13_0,ind_var13_corto_0,ind_var13_corto,ind_var13_largo_0,ind_var13_largo,ind_var13_medio_0,ind_var13_medio,ind_var13,ind_var14_0,ind_var14,ind_var17_0,ind_var17,ind_var18_0,ind_var18,ind_var19,ind_var20_0,ind_var20,ind_var24_0,ind_var24,ind_var25_cte,ind_var26_0,ind_var26_cte,ind_var26,ind_var25_0,ind_var25,ind_var27_0,ind_var28_0,ind_var28,ind_var27,ind_var29_0,ind_var29,ind_var30_0,ind_var30,ind_var31_0,ind_var31,ind_var32_cte,ind_var32_0,ind_var32,ind_var33_0,ind_var33,ind_var34_0,ind_var34,ind_var37_cte,ind_var37_0,ind_var37,ind_var39_0,ind_var40_0,ind_var40,ind_var41_0,ind_var41,ind_var39,ind_var44_0,ind_var44,ind_var46_0,ind_var46,num_var1_0,num_var1,num_var4,num_var5_0,num_var5,num_var6_0,num_var6,num_var8_0,Tuition,TuitionIS,Enroll,Choice
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,2,0,2,0,2,0,2,0,1,10,0,1,1,1,1,2,2,0,3,0,0,0,0,0,0,17030,17030,17030,8510,8510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,49,0,1740,62,0
2,421,44,536,56,480,600,490,470,580,600,22,27,21,28,21,26,6,8,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,147,1,147,1,147,1,147,1,50,50,1,1,1,1,2,1,1856,2,0,3830,4820,0,391,39900,39900,39900,39900,31250,31250,39900,0,0,0,0,0,0,0,0,0,0,0,0,0,3732,635,39900,26770,937,0
2,883,94,381,40,200,420,210,0,0,410,13,17,8,16,13,16,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,0,2,0,2,0,2,0,1,20,0,1,1,1,1,1,1,1324,2,0,7766,2550,0,550,22684,12619,12619,18753,7009,7009,16550,574,574,0,137,137,0,437,437,0,5,77,18,0,2193,1040,16550,2277,897,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,2,0,2,0,2,0,5,50,50,1,1,1,1,2,2,0,3,0,0,0,0,0,0,23800,23800,23800,12500,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,7500,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,40,0,1,1,1,1,2,2,0,3,0,0,0,0,0,0,31504,31504,31504,24304,24304,0,100,100,0,45,45,0,55,55,0,1,32,66,1,85,67,0,19433,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,0,1,156,1,156,1,156,1,100,100,1,1,1,1,2,1,1622,1,19,9800,3600,0,0,36884,35436,35436,35436,24592,24592,36884,0,0,0,0,0,0,0,0,0,0,0,0,0,10053,7818,36884,18360,845,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,40,0,1,1,1,1,2,2,0,3,0,0,0,0,0,0,37289,37289,37289,24338,24338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,19312,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,3,2,0,0,0,0,0,0,2,0,2,0,2,0,2,0,1,0,0,1,1,1,1,1,2,0,3,0,0,0,0,0,0,16289,16289,18970,7647,7647,0,1009,1009,0,570,570,0,439,439,0,17,54,28,0,1523,2025,0,2370,803,0
2,75,15,470,92,410,530,435,403,500,550,18,23,17,23,17,23,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,159,1,159,1,159,1,159,1,30,30,1,1,1,1,1,1,1200,1,19,3400,3900,0,276,29378,19309,19309,30277,10264,10264,18410,1390,600,790,539,274,265,851,326,525,2,73,25,0,2208,1082,18410,3816,529,0
2,746,75,174,17,500,600,510,510,620,620,22,28,21,29,22,27,7,8,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,2,0,1,153,1,153,1,153,1,40,50,1,1,1,1,2,1,1280,2,0,8420,4100,0,303,45200,45200,45200,45200,38020,38020,45200,2421,770,1651,1127,385,742,1294,385,909,3,82,15,0,6154,1705,45200,27870,958,0
