University,Tuition,TuitionIS,UndergradEnroll
Adrian College,48906,32810,485
Alcorn State University,22036,5109,626
Aquinas College,39934,28426,361
Arkansas State University-Beebe,13026,2304,615
Arkansas State University-Main Campus,22103,6000,1488
Averett University,42940,30900,254
Baker University,41340,26730,164
Baldwin Wallace University,43332,29908,759
Baptist Bible College,20084,9324,89
Baptist University of the Americas,16570,6300,30
Beacon College,51790,34680,58
Bellevue University,17385,6600,64
Bennington College,66120,47590,184
Bethany College,40100,25580,214
Bloomsburg University of Pennsylvania,22604,7060,2102
Blue Mountain College,20152,9518,54
Brevard College,39640,26750,242
Brown University,65380,48272,1373
Cairn University-Langhorne,36200,23710,158
California Institute of Technology,63471,43710,223
California Lutheran University,56211,37980,546
California State University-Channel Islands,26037,5472,905
California State University-Stanislaus,20364,5472,1259
Calvary Bible College and Theological Seminary,18576,10080,33
Campbellsville University,36172,23328,468
Carl Albert State College,12076,2073,766
Carson-Newman University,38544,24200,483
Castleton University,23382,10248,426
Centenary College,46899,30094,225
Central Methodist University-College of Liberal Arts and Sciences,35660,21630,273
Chapman University,64650,46500,1356
Cincinnati Christian University,30086,15966,94
Clark Atlanta University,36988,19880,838
College for Creative Studies,54100,37560,272
College of St Joseph,35900,21100,41
College of the Siskiyous,15002,1104,303
Commonwealth Technical Institute,33706,16836,97
Concordia College-New York,43724,28570,119
Converse College,32177,15500,209
Corning Community College,16374,4230,744
Cottey College,28750,18400,139
Crowder College,12014,2928,1123
Dakota State University,19265,4170,340
Davis & Elkins College,40755,27000,193
Delaware State University,22057,6702,845
Dickinson College,64541,49014,645
Dickinson State University,17352,5013,200
Dillard University,31157,15038,297
Dodge City Community College,13578,1350,421
Dowling College,44672,29500,206
East Central University,14552,4511,614
East Georgia State College,14349,2181,1147
East Stroudsburg University of Pennsylvania,22128,7060,1296
Eastern Kentucky University,20172,8150,2771
Eastern Michigan University,22351,8888,2838
Eastern Oklahoma State College,13664,2863,353
Eastern Wyoming College,13542,1992,215
Edmonds Community College,18568,3388,510
Elizabeth City State University,13661,2820,268
Emmanuel College,53815,36284,544
Emmanuel College,28770,18540,221
Evangel University,33829,20266,362
Felician University,47425,29550,294
Finlandia University,34288,21610,159
Florida Institute of Technology,56990,38540,455
Florida International University,23240,4721,3620
Florida Keys Community College,16939,2483,170
Fort Hays State University,17122,3574,940
Fort Valley State University,19949,3886,439
Gadsden State Community College,10640,3450,1143
Georgia State University,26214,6846,3626
Grambling State University,25108,5276,611
Grand Valley State University,22263,11363,4082
Grinnell College,61498,46574,357
Harcum College,35155,21900,295
Harvard University,64400,41632,1471
Harvey Mudd College,69355,50368,185
Hellenic College-Holy Cross Greek Orthodox School of Theology,42682,21940,30
Hesston College,37478,24824,130
Highlands College of Montana Tech,16323,2380,139
Hillsdale Free Will Baptist College,26304,9580,106
Howard Payne University,36984,23600,281
Howard University,43116,22737,1561
Huntingdon College,35935,21975,252
Hutchinson Community College,13770,2560,1003
Ilisagvik College,20120,3000,16
Indiana University-Bloomington,24539,9087,7152
Indiana University-Purdue University-Indianapolis,22296,8009,3812
Indiana University-South Bend,19292,6393,882
Indiana University-Southeast,19893,6356,926
Iowa Western Community College,18098,4768,1177
Jarvis Christian College,23840,10400,251
Jefferson Davis Community College,13228,3450,350
Johnson C Smith University,32136,15466,330
Johnson State College,23264,9984,204
Kentucky Mountain Bible College,13190,6750,15
Lamar Community College,16276,3132,140
Lane Community College,15960,3582,1214
Langston University,18714,3726,641
Le Moyne-Owen College,18590,10460,183
Life University,35160,9810,87
Limestone College,39268,23900,427
Lincoln College of New England-Southington,35083,18780,153
LIU Brooklyn,52646,33678,788
LIU Post,53184,33678,474
Louisburg College,31074,14827,348
Louisiana State University and Agricultural & Mechanical College,25750,7552,5564
Lyndon State College,23314,9984,271
Manchester University,42237,28840,384
Marist College,51090,33250,1182
Martin Luther College,24020,13570,166
Mercy College,36248,17466,930
Michigan Career and Technical Institute,15333,9913,96
Milwaukee School of Engineering,48650,34890,479
Minerva Schools at Keck Graduate Institute,29950,10000,18
Minot State University,16864,5065,303
Moberly Area Community College,12530,4110,990
Montreat College,36002,24020,153
Morningside College,41335,26680,347
Mount Ida College,48372,31085,418
Murray State College,16266,3712,607
Nebraska Methodist College of Nursing & Allied Health,27538,13248,33
New York Institute of Technology,52550,32300,677
Newberry College,40150,22517,259
Newbury College,47748,30128,260
Northcentral Technical College,14815,3852,864
Northeast Community College,13699,2580,848
Northeast Texas Community College,17943,2850,461
